model_type,n_estimators,event_type,count,avg_anomaly_score,avg_trust_score,min_trust_score,max_trust_score
IsolationForest,50,wired_congestion,164744,0.03138388522308148,0.8151915478635561,0.4654616185723624,0.9536537079725521
IsolationForest,50,satellite_handoff,21766,-0.14938474401277732,0.3805342308571616,0.1477891366512305,0.8828396672439133
IsolationForest,50,normal,407490,0.052982931216413856,0.8671263521547933,0.5562089297124498,1.0
IsolationForest,50,software_bug_satellite,5400,-0.04252458803863998,0.6374789722481066,0.22502925116191885,0.761338046428375
IsolationForest,50,wired_config_failure,5400,-0.16540626575010864,0.3420105573517222,0.0,0.5283646351352098
