model_type,n_estimators,event_type,count,avg_anomaly_score,avg_trust_score,min_trust_score,max_trust_score
IsolationForest,200,wired_congestion,164744,0.030668098762885846,0.8069472469803651,0.44959326203419797,0.9438089998146009
IsolationForest,200,satellite_handoff,21766,-0.1327922349689978,0.38050455429258007,0.1496030668696486,0.8460093504458603
IsolationForest,200,normal,407490,0.04922856311332299,0.8553686236803455,0.5261254768954255,1.0
IsolationForest,200,software_bug_satellite,5400,-0.041592670651965626,0.6184300918918105,0.24226493872865076,0.7115284791820666
IsolationForest,200,wired_config_failure,5400,-0.14470205320004265,0.3494336832138544,0.0,0.4917660886494683
